month,section,disaster
มกราคม ,south-west,อุทกภัย
มกราคม ,south-west,ฝนแล้ง
กุมภาพันธุ์,north,ไฟป่า
กุมภาพันธุ์,north-east,ไฟป่า
กุมภาพันธุ์,north-east,ฝนแล้ง
กุมภาพันธุ์,south-west,ฝนแล้ง
มีนาคม,north,พายุฤดูร้อน
มีนาคม,north,ไฟป่า
มีนาคม,north,ฝนแล้ง
มีนาคม,north-east,พายุฤดูร้อน
มีนาคม,north-east,ไฟป่า
มีนาคม,north-east,ฝนแล้ง
มีนาคม,central,พายุฤดูร้อน
มีนาคม,central,ฝนแล้ง
มีนาคม,east,ฝนแล้ง
มีนาคม,south-east,ฝนแล้ง
มีนาคม,south-west,ฝนแล้ง
เมษายน,north,พายุฤดูร้อน
เมษายน,north,ไฟป่า
เมษายน,north,ฝนแล้ง
เมษายน,north-east,พายุฤดูร้อน
เมษายน,north-east,ไฟป่า
เมษายน,north-east,ฝนแล้ง
เมษายน,central,พายุฤดูร้อน
เมษายน,central,ฝนแล้ง
เมษายน,east,ฝนแล้ง
เมษายน,south-west,ฝนแล้ง
พฤษภาคม,north,อุทกภัย
พฤษภาคม,north,พายุฤดูร้อน
พฤษภาคม,north-east,อุทกภัย
พฤษภาคม,north-east,พายุฤดูร้อน
พฤษภาคม,central,อุทกภัย
พฤษภาคม,central,พายุฤดูร้อน
พฤษภาคม,east,อุทกภัย
พฤษภาคม,south-east,พายุหมุนเขตร้อน
พฤษภาคม,south-east,อุทกภัย
พฤษภาคม,south-west,อุทกภัย
พฤษภาคม,south-west,ฝนแล้ง
มิถุนายน,north,อุทกภัย
มิถุนายน,north,ฝนทิ้งช่วง
มิถุนายน,north-east,อุทกภัย
มิถุนายน,north-east,ฝนทิ้งช่วง
มิถุนายน,central,อุทกภัย
มิถุนายน,central,ฝนทิ้งช่วง
มิถุนายน,east,อุทกภัย
มิถุนายน,east,ฝนทิ้งช่วง
มิถุนายน,south-east,อุทกภัย
มิถุนายน,south-west,อุทกภัย
กรกฎาคม,north,พายุหมุนเขตร้อน
กรกฎาคม,north,อุทกภัย
กรกฎาคม,north,พายุฝนฟ้าคะนอง
กรกฎาคม,north,ฝนทิ้งช่วง
กรกฎาคม,north-east,อุทกภัย
กรกฎาคม,north-east,พายุหมุนเขตร้อน
กรกฎาคม,north-east,พายุฝนฟ้าคะนอง
กรกฎาคม,north-east,ฝนทิ้งช่วง
กรกฎาคม,central,พายุหมุนเขตร้อน
กรกฎาคม,central,พายุฝนฟ้าคะนอง
กรกฎาคม,central,ฝนทิ้งช่วง
กรกฎาคม,east,อุทกภัย
กรกฎาคม,east,ฝนทิ้งช่วง
กรกฎาคม,south-east,อุทกภัย
กรกฎาคม,south-west,อุทกภัย
สิงหาคม,north,พายุหมุนเขตร้อน
สิงหาคม,north,อุทกภัย
สิงหาคม,north,พายุฝนฟ้าคะนอง
สิงหาคม,north-east,พายุหมุนเขตร้อน
สิงหาคม,north-east,อุทกภัย
สิงหาคม,north-east,พายุฝนฟ้าคะนอง
สิงหาคม,central,พายุหมุนเขตร้อน
สิงหาคม,central,อุทกภัย
สิงหาคม,central,พายุฝนฟ้าคะนอง
สิงหาคม,east,พายุหมุนเขตร้อน
สิงหาคม,east,อุทกภัย
สิงหาคม,east,พายุฝนฟ้าคะนอง
สิงหาคม,south-east,อุทกภัย
สิงหาคม,south-west,อุทกภัย
กันยายน,north,พายุหมุนเขตร้อน
กันยายน,north,อุทกภัย
กันยายน,north,พายุฝนฟ้าคะนอง
กันยายน,north-east,พายุหมุนเขตร้อน
กันยายน,north-east,อุทกภัย
กันยายน,north-east,พายุฝนฟ้าคะนอง
กันยายน,central,พายุหมุนเขตร้อน
กันยายน,central,อุทกภัย
กันยายน,central,พายุฝนฟ้าคะนอง
กันยายน,east,พายุหมุนเขตร้อน
กันยายน,east,อุทกภัย
กันยายน,east,พายุฝนฟ้าคะนอง